LanguagePack en-US|Translation
moorl-magazine.pageDescription|Lorem ipsum dolor sit amet, consetetur sadipscing elitr, sed diam nonumy eirmod tempor invidunt ut labore et dolore magna aliquyam erat, sed diam voluptua. At vero eos et accusam et justo duo dolores et ea rebum. Stet clita kasd gubergren, no sea takimata sanctus est Lorem ipsum dolor sit amet. Lorem ipsum dolor sit amet, consetetur sadipscing elitr, sed diam nonumy eirmod tempor invidunt ut labore et dolore magna aliquyam erat, sed diam voluptua. At vero eos et accusam et justo duo dolores et ea rebum. Stet clita kasd gubergren, no sea takimata sanctus est Lorem ipsum dolor sit amet.
moorl-magazine.pageTitle|My Graceful Blog
moorl-magazine.posts|Blog posts
moorl-magazine.products|Related products
moorl-magazine.readMore|Read more
moorl-magazine.recentComments|Recent comments
moorl-magazine.relatedArticles|Related blog posts
moorl-magazine.search|Search
moorl-magazine.searchFor|Search for...
moorl-magazine.sendComment|Submit your comment
moorl-magazine.similarArticles|Similar blog posts
moorl-magazine.sticky|Pinned
moorl-magazine.tags|Tags
moorl-magazine.writeComment|Write a comment
moorl-magazine.wroteOn|wrote on
moorl-magazine.yourComment|Your comment
moorl-magazine.yourCommentPlaceholder|Enter your comment here
moorl-merchant-finder.allCategories|All categories
moorl-merchant-finder.allCountries|All countries
moorl-merchant-finder.allManufacturers|All manufacturers
moorl-merchant-finder.allowMerchantCustomerContact|I allow my selected merchant to contact me by phone or e-mail.
moorl-merchant-finder.allResults|-- Select --
moorl-merchant-finder.allTags|All tags
moorl-merchant-finder.are|are 
moorl-merchant-finder.available|Available
moorl-merchant-finder.backToOverview|Back to overview
moorl-merchant-finder.call|Call
moorl-merchant-finder.cancel|Cancel
moorl-merchant-finder.categories|Categories
moorl-merchant-finder.checkAvailability|Check availability
moorl-merchant-finder.chose|Chose
moorl-merchant-finder.choseMerchant|Chose a merchant
moorl-merchant-finder.choseMerchantToProceed|Please chose your local merchant to proceed the checkout
moorl-merchant-finder.close|Close
moorl-merchant-finder.commentToMerchant|Send a comment to the merchant
moorl-merchant-finder.country|Country
moorl-merchant-finder.deliveryTime|Delivery time
